QA ID,Candidate ID,Packet ID,Assembly ID,Working Document Slot,Chronology ID,Decision ID,Citation ID,Episode IDs,Evidence Role,Source Pull Plan IDs,Request IDs,Desk Gate Plan IDs,Repository,Record Group Or Collection,Source Locator,Date,Title,Source Copy Receipt Status,Source Copy Location,Suggested Source Folder,Suggested File Stem,Image Completeness Check,Page Order Check,Reverse Side Check,Enclosures Captured,Routing And Marginalia Captured,Legibility Check,OCR Status,Transcript Status,Translation Needed,Citation Fields Remaining,Authority Check,Duplicate Proof Check,Boundary Check,Episode Evidence Check,Promotion Readiness,QA Exit Criteria,Next QA Action,Reviewer,QA Date,Notes
QA-028,DOC50-016,PKT-016,ASM-028,WDS-028,CHR-028,SEL-016,CITE-028,EPI-008,EPI-008: Implementation,TRIP-001,PULL-001,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600","September 2, 1944",Suva telegram summarizing a Central Directive from OWI,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-028_DOC50-016_Suva-telegram-summarizing-a-Central-Directive-from-OWI,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-008: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-029,DOC50-001,PKT-001,ASM-029,WDS-029,CHR-029,SEL-001,CITE-029,EPI-009,EPI-009: Policy,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/9-944; M973 roll 607, image 0095","September 9-11, 1944",CIAA circular announcing morning and noon Spanish-language shortwave service,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-029_DOC50-001_CIAA-circular-announcing-morning-and-noon-Spanish-language-shortwave,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-030,DOC50-002,PKT-002,ASM-030,WDS-030,CHR-030,SEL-002,CITE-030,EPI-009,EPI-009: Reaction,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100","September 21, 1944",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-030_DOC50-002_Dominican-Republic-report-that-WNBI-broadcasts-were-excellent,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Reaction.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-031,DOC50-008,PKT-008,ASM-031,WDS-031,CHR-031,SEL-008,CITE-031,EPI-009,EPI-009: Implementation,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100","September 21, 1944",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-031_DOC50-008_Costa-Rica-telegram-enclosing-Nelson-Rockefeller-message-for,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authority rows for Rockefeller, Nelson A. and any additional authors/recipients in the source copy.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-032,DOC50-003,PKT-003,ASM-032,WDS-032,CHR-032,SEL-003,CITE-032,EPI-009,EPI-009: Policy,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/9-2244; M973 roll 607, image 0100","September 22, 1944",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-032_DOC50-003_Circular-to-diplomatic-officers-requesting-replies-to-a,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-033,DOC50-004,PKT-004,ASM-033,WDS-033,CHR-033,SEL-004,CITE-033,EPI-009,EPI-009: Implementation,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110","October 20, 1944",Colombia telegram listing latest CIAA program numbers and expiration dates,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-033_DOC50-004_Colombia-telegram-listing-latest-CIAA-program-numbers-and,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-034,DOC50-005,PKT-005,ASM-034,WDS-034,CHR-034,SEL-005,CITE-034,EPI-009,EPI-009: Implementation,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110","October 20, 1944",Chile telegram reporting that no CIAA transcriptions were then in use,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-034_DOC50-005_Chile-telegram-reporting-that-no-CIAA-transcriptions-were,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-035,DOC50-026,PKT-026,ASM-035,WDS-035,CHR-035,SEL-026,CITE-035,EPI-004,EPI-004: Policy,TRIP-003,PULL-003,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732375,"October 28, 1944",Long-Range Directive for Czechoslovakia,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-035_DOC50-026_Long-Range-Directive-for-Czechoslovakia,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-004: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-036,DOC50-017,PKT-017,ASM-036,WDS-036,CHR-036,SEL-017,CITE-036,EPI-006,EPI-006: Implementation,TRIP-001; TRIP-006,PULL-001; PULL-006,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/10-3144; M973 roll 607, image 0700","October 31, 1944",Las Palmas report on Legation activities for OWI and American programs broadcast in September,Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-036_DOC50-017_Las-Palmas-report-on-Legation-activities-for-OWI,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-006: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-037,DOC50-007,PKT-007,ASM-037,WDS-037,CHR-037,SEL-007,CITE-037,EPI-009,EPI-009: Policy,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/11-2044; M973 roll 607, image 0120","November 20, 1944",Brazil telegram on proposed Hemisphere information service through CIAA,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-037_DOC50-007_Brazil-telegram-on-proposed-Hemisphere-information-service-through,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-038,DOC50-028,PKT-028,ASM-038,WDS-038,CHR-038,SEL-028,CITE-038,EPI-011,EPI-011: Policy,TRIP-003,PULL-003,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732392,"November 20, 1944",Netherlands Long Range Directive,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-038_DOC50-028_Netherlands-Long-Range-Directive,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-011: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-039,DOC50-006,PKT-006,ASM-039,WDS-039,CHR-039,SEL-006,CITE-039,EPI-009,EPI-009: Policy,TRIP-002; TRIP-007,PULL-002; PULL-007,TRIP-011; TRIP-012,NARA,RG 59,"103.9161/11-2144; M973 roll 607, image 0120","November 21, 1944",Circular transmitting changes in the English shortwave schedule,Awaiting request or source copy,"",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,WDS-039_DOC50-006_Circular-transmitting-changes-in-the-English-shortwave-schedule,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-009: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-040,DOC50-022,PKT-022,ASM-040,WDS-040,CHR-040,SEL-022,CITE-040,EPI-005,EPI-005: Policy,TRIP-003,PULL-003,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732381,"December 5, 1944",Long Range Directive for Germany,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-040_DOC50-022_Long-Range-Directive-for-Germany,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-005: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-041,DOC50-018,PKT-018,ASM-041,WDS-041,CHR-041,SEL-018,CITE-041,EPI-008,EPI-008: Implementation,TRIP-001,PULL-001,TRIP-011; TRIP-012,NARA,RG 59,"103.9166/12-644; M973 roll 607, image 0750","December 6, 1944","New Zealand report on informational activities on behalf of OWI, September-October 1944",Awaiting request or source copy,"",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,WDS-041_DOC50-018_New-Zealand-report-on-informational-activities-on-behalf,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-008: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-042,DOC50-027,PKT-027,ASM-042,WDS-042,CHR-042,SEL-027,CITE-042,EPI-006,EPI-006: Policy,TRIP-003; TRIP-006,PULL-003; PULL-006,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732402,"December 6, 1944",Long-Range Guidance-Switzerland,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-042_DOC50-027_Long-Range-Guidance-Switzerland,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-006: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-043,DOC50-037,PKT-037,ASM-043,WDS-043,CHR-043,SEL-037,CITE-043,EPI-004,EPI-004: Boundary/context,TRIP-010,PULL-010,TRIP-011; TRIP-012,NARA,RG 165,NAID 2149191,"January 12, 1945",Weekly Propaganda Directive Office of War Information Czechoslovakia,Awaiting request or source copy,"",BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,WDS-043_DOC50-037_Weekly-Propaganda-Directive-Office-of-War-Information-Czechoslovakia,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-004: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-044,DOC50-035,PKT-035,ASM-044,WDS-044,CHR-044,SEL-035,CITE-044,EPI-008,EPI-008: Policy,TRIP-003,PULL-003,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732400,"January 30, 1945",Long-Range Policy Directive for Thailand,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-044_DOC50-035_Long-Range-Policy-Directive-for-Thailand,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-008: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.","","",""
