Scorecard ID,Candidate ID,Working Document Slot,Chapter Number,Chapter Title,Chapter Slot,Date,Title,Lane,Editorial Role,Priority,Work Priority Score,Final Readiness Score,Readiness Tier,Open Gate Count,Open Gates,Main Blocker,Compiler Queue Rank,Earliest Useful Action,Next 30 Minute Task,Next Archive Task,Next Desk Task,Source Copy Status,Receipt QA Status,Duplicate Status,Citation Status,Selection Status,Boundary Status,Annotation Status,Promotion Recommendation,Annotation Type,Episode IDs,Episode Titles,Episode Promotion Tests,Cross References To Other Candidates,Repository,Record Group Or Collection,Source Locator,Suggested Source Folder,Related Pull Sheets,Related Docket,Request Work Blocks,Catalog URL,FRUS Search URL,Reviewer,Review Date,Notes
READY-026,DOC50-017,WDS-036,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S20,"October 31, 1944",Las Palmas report on Legation activities for OWI and American programs broadcast in September,OWI Overseas and VOA,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,26,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/10-3144; M973 roll 607, image 0700 is in the next archive batch.","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Palmas%20Legation%20activities%20American%20programs%20broadcast%20September%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-038; DOC50-039; DOC50-040,NARA,RG 59,"103.9166/10-3144; M973 roll 607, image 0700",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22American%20programs%20broadcast%22%20%22Las%20Palmas%22,"","",""
READY-027,DOC50-048,WDS-002,4,Hemisphere Information and Cultural Exchange,CH4-S01,1942,Radio Reaction Reports,Hemisphere and Cultural Exchange,Reception / operations evidence,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,27,Send or batch PULL-007; save source copy to BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction; then run receipt QA.,Open PULL-007 request row and confirm NAID 782735 is in the next archive batch.,"When source copy arrives from PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Radio%20Reaction%20Inter-American%20Affairs%20radio%201942 result count and final duplicate ruling.,Needed,Itemize file-unit source copy before selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Itemize file unit before decision,Implementation annotation,EPI-010,OIAA radio operations and reaction reports,"EPI-010: Promote only item-level reports that prove audience reception, operational significance, or State/OIAA coordination.",DOC50-050; DOC50-049,NARA,RG 229,NAID 782735,BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/782735,https://history.state.gov/search?q=%22Radio%20Reaction%20Reports%22%20%22Inter-American%22,"","",""
READY-028,DOC50-050,WDS-012,4,Hemisphere Information and Cultural Exchange,CH4-S02,1941-1943,Radio Division Reports and Issuances,Hemisphere and Cultural Exchange,Reception / operations evidence,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,28,Send or batch PULL-007; save source copy to BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction; then run receipt QA.,Open PULL-007 request row and confirm NAID 2102898 is in the next archive batch.,"When source copy arrives from PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Radio%20Division%20Issuances%20Inter-American%20Affairs%20radio%201941 result count and final duplicate ruling.,Needed,Itemize file-unit source copy before selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Itemize file unit before decision,Implementation annotation,EPI-010,OIAA radio operations and reaction reports,"EPI-010: Promote only item-level reports that prove audience reception, operational significance, or State/OIAA coordination.",DOC50-049; DOC50-048,NARA,RG 229,NAID 2102898,BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/2102898,https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22,"","",""
READY-029,DOC50-001,WDS-029,4,Hemisphere Information and Cultural Exchange,CH4-S03,"September 9-11, 1944",CIAA circular announcing morning and noon Spanish-language shortwave service,Hemisphere and Cultural Exchange,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,29,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-944; M973 roll 607, image 0095 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=CIAA%20circular%20announcing%20morning%20noon%20Spanish-language%20shortwave%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-003; DOC50-006; DOC50-007; DOC50-004; DOC50-005; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/9-944; M973 roll 607, image 0095",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-944%22,"","",""
READY-030,DOC50-002,WDS-030,4,Hemisphere Information and Cultural Exchange,CH4-S04,"September 21, 1944",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,Hemisphere and Cultural Exchange,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,30,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2144; M973 roll 607, image 0100 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Dominican%20Republic%20that%20WNBI%20broadcasts%20were%20excellent%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-006; DOC50-007; DOC50-004; DOC50-005; DOC50-008,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-2144%22,"","",""
READY-031,DOC50-004,WDS-033,4,Hemisphere Information and Cultural Exchange,CH4-S07,"October 20, 1944",Colombia telegram listing latest CIAA program numbers and expiration dates,Hemisphere and Cultural Exchange,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,31,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/10-2044; M973 roll 607, image 0110 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Colombia%20telegram%20listing%20latest%20CIAA%20program%20numbers%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-006; DOC50-007; DOC50-005; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,"","",""
READY-032,DOC50-007,WDS-037,4,Hemisphere Information and Cultural Exchange,CH4-S09,"November 20, 1944",Brazil telegram on proposed Hemisphere information service through CIAA,Hemisphere and Cultural Exchange,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,32,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/11-2044; M973 roll 607, image 0120 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Brazil%20telegram%20proposed%20Hemisphere%20service%20through%20CIAA%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-006; DOC50-004; DOC50-005; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/11-2044; M973 roll 607, image 0120",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Hemisphere%20information%20service%22%20CIAA,"","",""
READY-033,DOC50-006,WDS-039,4,Hemisphere Information and Cultural Exchange,CH4-S10,"November 21, 1944",Circular transmitting changes in the English shortwave schedule,Hemisphere and Cultural Exchange,State cable / implementation,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,33,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/11-2144; M973 roll 607, image 0120 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Circular%20transmitting%20changes%20English%20shortwave%20schedule%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-007; DOC50-004; DOC50-005; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/11-2144; M973 roll 607, image 0120",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22English%20short%20wave%20schedule%22,"","",""
READY-034,DOC50-049,WDS-050,4,Hemisphere Information and Cultural Exchange,CH4-S11,1945,Radio Division Resume of Operations,Hemisphere and Cultural Exchange,Reception / operations evidence,High,31,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,34,Send or batch PULL-007; save source copy to BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction; then run receipt QA.,Open PULL-007 request row and confirm NAID 2102897 is in the next archive batch.,"When source copy arrives from PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Radio%20Division%20Resume%20Operations%20Inter-American%20Affairs%20radio%201945 result count and final duplicate ruling.,Needed,Itemize file-unit source copy before selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Itemize file unit before decision,Implementation annotation,EPI-010,OIAA radio operations and reaction reports,"EPI-010: Promote only item-level reports that prove audience reception, operational significance, or State/OIAA coordination.",DOC50-050; DOC50-048,NARA,RG 229,NAID 2102897,BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/2102897,https://history.state.gov/search?q=%22Radio%20Division%20Resume%20of%20Operations%22,"","",""
READY-035,DOC50-032,WDS-013,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S03,January-December 1944,Political Warfare Executive Central Directives,OWI Overseas and VOA,Policy coordination,Medium,31,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,35,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732424 is in the next archive batch.,"When source copy arrives from PULL-004; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Political%20Warfare%20Executive%20Central%20Directives%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003,"OWI, OSS, PWE, London, and Allied directive coordination","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background.",DOC50-031; DOC50-033; DOC50-034; DOC50-029; DOC50-030,NARA,RG 208,NAID 4732424,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732424,https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22,"","",""
READY-036,DOC50-034,WDS-025,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S15,September 1944,Regional Directives-September 1944,OWI Overseas and VOA,Policy coordination,Medium,31,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,36,Send or batch PULL-004; save source copy to BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk; then run receipt QA.,Open PULL-004 request row and confirm NAID 4732351 is in the next archive batch.,"When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Regional%20Directives-September%201944%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Coordination annotation,EPI-003; EPI-006; EPI-008,"OWI, OSS, PWE, London, and Allied directive coordination | Neutral Europe, Italy, Balkan, and Iberian implementation | Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background. | EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material. | EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-031; DOC50-032; DOC50-033; DOC50-029; DOC50-030; DOC50-027; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040; DOC50-035; DOC50-009; DOC50-016; DOC50-018,NARA,RG 208,NAID 4732351,BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-004: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732351,https://history.state.gov/search?q=%22Regional%20Directives-September%201944%22%20OWI,"","",""
READY-037,DOC50-011,WDS-021,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S11,"July 9, 1944",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,OWI Overseas and VOA,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,37,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/7-944; M973 roll 607, image 0500 is in the next archive batch.","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Switzerland%20telegram%20carrying%20message%20prewar%20Bern-Rome%20communications%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040,NARA,RG 59,"103.9166/7-944; M973 roll 607, image 0500",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Bern-Rome%20communications%22%20OWI,"","",""
READY-038,DOC50-009,WDS-022,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S12,"July 10, 1944",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,OWI Overseas and VOA,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,38,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/7-1044; M973 roll 607, image 0500 is in the next archive batch.","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Dakar%20telegram%20Motion%20Picture%20Radio%20Division%20advising%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-008,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-035; DOC50-033; DOC50-034; DOC50-016; DOC50-018,NARA,RG 59,"103.9166/7-1044; M973 roll 607, image 0500",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22United%20Newsreel%20108%22,"","",""
READY-039,DOC50-013,WDS-024,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S14,"August 8, 1944","Manchester Press Attache report for the week ending August 5, 1944",OWI Overseas and VOA,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,39,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/8-844; M973 roll 607, image 0550 is in the next archive batch.","When source copy arrives from PULL-001; PULL-005, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Manchester%20Press%20Attache%20week%20ending%20August%201944%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-007,"Britain, Iceland, and Atlantic information-center operations","EPI-007: Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach.",DOC50-029; DOC50-033; DOC50-010; DOC50-012,NARA,RG 59,"103.9166/8-844; M973 roll 607, image 0550",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Manchester%20Press%20Attache%22%20%22August%205%2C%201944%22,"","",""
READY-040,DOC50-018,WDS-041,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S23,"December 6, 1944","New Zealand report on informational activities on behalf of OWI, September-October 1944",OWI Overseas and VOA,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,40,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/12-644; M973 roll 607, image 0750 is in the next archive batch.","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Zealand%20informational%20activities%20behalf%20September-October%201944%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-008,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand","EPI-008: Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.",DOC50-035; DOC50-033; DOC50-034; DOC50-009; DOC50-016,NARA,RG 59,"103.9166/12-644; M973 roll 607, image 0750",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22informational%20activities%22%20%22Office%20of%20War%20Information%22%20%22New%20Zealand%22,"","",""
