"Chronology ID","Candidate ID","Sort Key","Display Date","Lane","Episode","Editorial Role","Priority","Proof Status","Repository","Record Group","Source Locator","Title","Placement Note","Next Action","Duplicate Task","Related Pull Sheets","Related Docket","Catalog URL","FRUS Search URL","Source Note"
"CHR-037","DOC50-007","1944-11-20","November 20, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9161/11-2044; M973 roll 607, image 0120","Brazil telegram on proposed Hemisphere information service through CIAA","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22Hemisphere%20information%20service%22%20CIAA","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120."
"CHR-038","DOC50-028","1944-11-20","November 20, 1944","OWI Overseas and VOA","Long-range liberation and postwar information policy","Policy guidance","Medium","Source copy needed","NARA","RG 208","NAID 4732392","Netherlands Long Range Directive","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732392","https://history.state.gov/search?q=%22Netherlands%20Long%20Range%20Directive%22","NARA RG 208, Record Set of Policy Directives, Extra Copies of Netherlands Long Range Directive-November 20, 1944, NAID 4732392."
"CHR-039","DOC50-006","1944-11-21","November 21, 1944","Hemisphere and Cultural Exchange","CIAA shortwave, films, and hemispheric information service","State cable / implementation","High","Source copy needed","NARA","RG 59","103.9161/11-2144; M973 roll 607, image 0120","Circular transmitting changes in the English shortwave schedule","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-002; PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22English%20short%20wave%20schedule%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120."
"CHR-040","DOC50-022","1944-12-05","December 5, 1944","OWI Overseas and VOA","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732381","Long Range Directive for Germany","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732381","https://history.state.gov/search?q=%22Long%20Range%20Directive%20for%20Germany%22%20%221944%22","NARA RG 208, Record Set of Policy Directives, Extra Copies of Long Range Directive for Germany-December 5, 1944, NAID 4732381."
"CHR-041","DOC50-018","1944-12-06","December 6, 1944","OWI Overseas and VOA","OWI overseas reporting and field information work","State cable / implementation","Medium","Source copy needed","NARA","RG 59","103.9166/12-644; M973 roll 607, image 0750","New Zealand report on informational activities on behalf of OWI, September-October 1944","OWI overseas cluster; pair Washington guidance with post reporting or foreign-reaction evidence.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-001","DKT-001; DKT-005; DKT-008; DKT-002; DKT-006","https://catalog.archives.gov/id/88176221","https://history.state.gov/search?q=%22informational%20activities%22%20%22Office%20of%20War%20Information%22%20%22New%20Zealand%22","NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0750."
"CHR-042","DOC50-027","1944-12-06","December 6, 1944","OWI Overseas and VOA","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732402","Long-Range Guidance-Switzerland","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732402","https://history.state.gov/search?q=%22Long-Range%20Guidance-Switzerland%22","NARA RG 208, Record Set of Policy Directives, Long-Range Guidance-Switzerland-December 6, 1944, NAID 4732402."
"CHR-043","DOC50-037","1945-01-12","January 12, 1945","OWI Overseas and VOA","War Department propaganda boundary review","Boundary directive","Medium","Boundary ruling needed","NARA","RG 165","NAID 2149191","Weekly Propaganda Directive Office of War Information Czechoslovakia","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-010","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/2149191","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Czechoslovakia%22","NARA RG 165, Weekly Propaganda Directive Office of War Information Czechoslovakia January 12, 1945, NAID 2149191."
"CHR-044","DOC50-035","1945-01-30","January 30, 1945","OWI Overseas and VOA","Long-range liberation and postwar information policy","Policy guidance","Medium","Source copy needed","NARA","RG 208","NAID 4732400","Long-Range Policy Directive for Thailand","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732400","https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive%20for%20Thailand%22","NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive for Thailand-January 30, 1945, NAID 4732400."
"CHR-045","DOC50-025","1945-02-23","February 23, 1945","Peace Aims and Handoff","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732395","Long-Range Policy Guidance-Poland","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732395","https://history.state.gov/search?q=%22Long-Range%20Policy%20Guidance-Poland%22","NARA RG 208, Record Set of Policy Directives, Long-Range Policy Guidance-Poland-February 23, 1945, NAID 4732395."
"CHR-046","DOC50-024","1945-04-12","April 12, 1945","Peace Aims and Handoff","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732367","Long-Range Policy Directive-Austria","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732367","https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive-Austria%22","NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive-Austria-April 12, 1945, NAID 4732367."
"CHR-047","DOC50-023","1945-04-18","April 18, 1945","Peace Aims and Handoff","Long-range liberation and postwar information policy","Policy guidance","High","Source copy needed","NARA","RG 208","NAID 4732378","Long-Range Directive-France","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732378","https://history.state.gov/search?q=%22Long-Range%20Directive-France%22","NARA RG 208, Record Set of Policy Directives, Long-Range Directive-France-April 18, 1945, NAID 4732378."
"CHR-048","DOC50-020","1945-04-26","April 26, 1945","Peace Aims and Handoff","Long-range liberation and postwar information policy","Policy guidance","Critical","Source copy needed","NARA","RG 208","NAID 4732380","Basic Policy Directive for Information in Germany","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732380","https://history.state.gov/search?q=%22Basic%20Policy%20Directive%20for%20Information%20in%20Germany%22","NARA RG 208, Record Set of Policy Directives, Basic Policy Directive for Information in Germany-April 26, 1945, NAID 4732380."
"CHR-049","DOC50-021","1945-05-29","May 29, 1945","Peace Aims and Handoff","Long-range liberation and postwar information policy","Policy guidance","Critical","Source copy needed","NARA","RG 208","NAID 4732379","Directive on Basic Themes for Output to Germany","Core policy-guidance sequence for liberation, occupation, neutral, and postwar information themes.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-003","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732379","https://history.state.gov/search?q=%22Directive%20on%20Basic%20Themes%20for%20Output%20to%20Germany%22","NARA RG 208, Record Set of Policy Directives, Directive on Basic Themes for Output to Germany-May 29, 1945, NAID 4732379."
"CHR-050","DOC50-049","1945-12-31","1945","Hemisphere and Cultural Exchange","OIAA radio operations and reaction evidence","Reception / operations evidence","High","Item selection needed","NARA","RG 229","NAID 2102897","Radio Division Resume of Operations","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/2102897","https://history.state.gov/search?q=%22Radio%20Division%20Resume%20of%20Operations%22","NARA RG 229, Office of Inter-American Affairs, Department of Information, Radio Division, Resume of Operations, NAID 2102897."
