Duplicate ID,Candidate ID,Chronology ID,Priority,Duplicate Risk,Recommended Ruling,Lane,Date,Title,Repository,Record Group,Source Locator,Exact Search URL,Exact Result Count,Broad Search Query,Broad Search URL,Broad Result Count,Checked Date,Duplicate Status,Final Ruling,Compiler Notes,Audit Task,Related Pull Sheets,Related Docket,Catalog URL,Source Note
DUP-028,DOC50-016,CHR-028,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"September 2, 1944",Suva telegram summarizing a Central Directive from OWI,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",https://history.state.gov/search?q=%22Summary%20of%20Central%20Directive%20from%20OWI%22,0,Suva telegram summarizing Central OWI State 1944,https://history.state.gov/search?q=Suva%20telegram%20summarizing%20Central%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/9-244."
DUP-029,DOC50-001,CHR-029,High,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"September 9-11, 1944",CIAA circular announcing morning and noon Spanish-language shortwave service,NARA,RG 59,"103.9161/9-944; M973 roll 607, image 0095",https://history.state.gov/search?q=%22103.9161%2F9-944%22,0,CIAA circular announcing morning noon Spanish-language shortwave OWI State 1944,https://history.state.gov/search?q=CIAA%20circular%20announcing%20morning%20noon%20Spanish-language%20shortwave%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/9-944."
DUP-030,DOC50-002,CHR-030,High,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"September 21, 1944",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",https://history.state.gov/search?q=%22103.9161%2F9-2144%22,0,Dominican Republic that WNBI broadcasts were excellent OWI State 1944,https://history.state.gov/search?q=Dominican%20Republic%20that%20WNBI%20broadcasts%20were%20excellent%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/9-2144."
DUP-031,DOC50-008,CHR-031,Medium,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"September 21, 1944",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",https://history.state.gov/search?q=%22Teodoro%20Picado%22%20%22Rockefeller%22%20%221944%22,0,Costa Rica telegram enclosing Nelson Rockefeller message OWI State 1944,https://history.state.gov/search?q=Costa%20Rica%20telegram%20enclosing%20Nelson%20Rockefeller%20message%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/9-2144."
DUP-032,DOC50-003,CHR-032,Medium,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"September 22, 1944",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,NARA,RG 59,"103.9161/9-2244; M973 roll 607, image 0100",https://history.state.gov/search?q=%22103.9161%2F9-2244%22,0,Circular diplomatic officers requesting replies motion-picture questionnaire OWI State 1944,https://history.state.gov/search?q=Circular%20diplomatic%20officers%20requesting%20replies%20motion-picture%20questionnaire%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/9-2244."
DUP-033,DOC50-004,CHR-033,High,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"October 20, 1944",Colombia telegram listing latest CIAA program numbers and expiration dates,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",https://history.state.gov/search?q=%22103.9161%2F10-2044%22,0,Colombia telegram listing latest CIAA program numbers OWI State 1944,https://history.state.gov/search?q=Colombia%20telegram%20listing%20latest%20CIAA%20program%20numbers%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/10-2044."
DUP-034,DOC50-005,CHR-034,Medium,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"October 20, 1944",Chile telegram reporting that no CIAA transcriptions were then in use,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",https://history.state.gov/search?q=%22103.9161%2F10-2044%22,0,Chile telegram reporting that CIAA transcriptions were OWI State 1944,https://history.state.gov/search?q=Chile%20telegram%20reporting%20that%20CIAA%20transcriptions%20were%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/10-2044."
DUP-035,DOC50-026,CHR-035,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"October 28, 1944",Long-Range Directive for Czechoslovakia,NARA,RG 208,NAID 4732375,https://history.state.gov/search?q=%22Long-Range%20Directive%20for%20Czechoslovakia%22,0,Long-Range Czechoslovakia Office of War Information directive 1944,https://history.state.gov/search?q=Long-Range%20Czechoslovakia%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732375,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Directive for Czechoslovakia-October 28, 1944, NAID 4732375."
DUP-036,DOC50-017,CHR-036,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"October 31, 1944",Las Palmas report on Legation activities for OWI and American programs broadcast in September,NARA,RG 59,"103.9166/10-3144; M973 roll 607, image 0700",https://history.state.gov/search?q=%22American%20programs%20broadcast%22%20%22Las%20Palmas%22,0,Palmas Legation activities American programs broadcast September OWI State 1944,https://history.state.gov/search?q=Palmas%20Legation%20activities%20American%20programs%20broadcast%20September%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/10-3144."
DUP-037,DOC50-007,CHR-037,High,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"November 20, 1944",Brazil telegram on proposed Hemisphere information service through CIAA,NARA,RG 59,"103.9161/11-2044; M973 roll 607, image 0120",https://history.state.gov/search?q=%22Hemisphere%20information%20service%22%20CIAA,0,Brazil telegram proposed Hemisphere service through CIAA OWI State 1944,https://history.state.gov/search?q=Brazil%20telegram%20proposed%20Hemisphere%20service%20through%20CIAA%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/11-2044."
DUP-038,DOC50-028,CHR-038,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"November 20, 1944",Netherlands Long Range Directive,NARA,RG 208,NAID 4732392,https://history.state.gov/search?q=%22Netherlands%20Long%20Range%20Directive%22,0,Netherlands Long Range Office of War Information directive 1944,https://history.state.gov/search?q=Netherlands%20Long%20Range%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732392,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Extra Copies of Netherlands Long Range Directive-November 20, 1944, NAID 4732392."
DUP-039,DOC50-006,CHR-039,High,Medium duplicate risk,Unchecked - proof required before promotion,Hemisphere and Cultural Exchange,"November 21, 1944",Circular transmitting changes in the English shortwave schedule,NARA,RG 59,"103.9161/11-2144; M973 roll 607, image 0120",https://history.state.gov/search?q=%22English%20short%20wave%20schedule%22,0,Circular transmitting changes English shortwave schedule OWI State 1944,https://history.state.gov/search?q=Circular%20transmitting%20changes%20English%20shortwave%20schedule%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9161/11-2144."
DUP-040,DOC50-022,CHR-040,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"December 5, 1944",Long Range Directive for Germany,NARA,RG 208,NAID 4732381,https://history.state.gov/search?q=%22Long%20Range%20Directive%20for%20Germany%22%20%221944%22,0,Long Range Germany Office of War Information directive 1944,https://history.state.gov/search?q=Long%20Range%20Germany%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732381,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Extra Copies of Long Range Directive for Germany-December 5, 1944, NAID 4732381."
DUP-041,DOC50-018,CHR-041,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"December 6, 1944","New Zealand report on informational activities on behalf of OWI, September-October 1944",NARA,RG 59,"103.9166/12-644; M973 roll 607, image 0750",https://history.state.gov/search?q=%22informational%20activities%22%20%22Office%20of%20War%20Information%22%20%22New%20Zealand%22,0,Zealand informational activities behalf September-October 1944 OWI State 1944,https://history.state.gov/search?q=Zealand%20informational%20activities%20behalf%20September-October%201944%20OWI%20State%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,https://catalog.archives.gov/id/88176221,"Source: National Archives, RG 59, Central Decimal File 1940-1944, 103.9166/12-644."
DUP-042,DOC50-027,CHR-042,High,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"December 6, 1944",Long-Range Guidance-Switzerland,NARA,RG 208,NAID 4732402,https://history.state.gov/search?q=%22Long-Range%20Guidance-Switzerland%22,0,Long-Range Guidance-Switzerland Office of War Information directive 1944,https://history.state.gov/search?q=Long-Range%20Guidance-Switzerland%20Office%20of%20War%20Information%20directive%201944,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732402,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Guidance-Switzerland-December 6, 1944, NAID 4732402."
DUP-043,DOC50-037,CHR-043,Medium,Boundary duplicate risk,Hold until boundary and duplicate checks clear,OWI Overseas and VOA,"January 12, 1945",Weekly Propaganda Directive Office of War Information Czechoslovakia,NARA,RG 165,NAID 2149191,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Czechoslovakia%22,0,Weekly Propaganda Czechoslovakia Office of War Information propaganda directive 1945,https://history.state.gov/search?q=Weekly%20Propaganda%20Czechoslovakia%20Office%20of%20War%20Information%20propaganda%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/2149191,"Source: National Archives, RG 165, Records of the War Department General and Special Staffs, Weekly Propaganda Directive Office of War Information Czechoslovakia January 12, 1945, NAID 2149191."
DUP-044,DOC50-035,CHR-044,Medium,Medium duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,"January 30, 1945",Long-Range Policy Directive for Thailand,NARA,RG 208,NAID 4732400,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive%20for%20Thailand%22,0,Long-Range Policy Thailand Office of War Information directive 1945,https://history.state.gov/search?q=Long-Range%20Policy%20Thailand%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732400,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Policy Directive for Thailand-January 30, 1945, NAID 4732400."
DUP-045,DOC50-025,CHR-045,High,Medium duplicate risk,Unchecked - proof required before promotion,Peace Aims and Handoff,"February 23, 1945",Long-Range Policy Guidance-Poland,NARA,RG 208,NAID 4732395,https://history.state.gov/search?q=%22Long-Range%20Policy%20Guidance-Poland%22,0,Long-Range Policy Guidance-Poland Office of War Information directive 1945,https://history.state.gov/search?q=Long-Range%20Policy%20Guidance-Poland%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732395,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Policy Guidance-Poland-February 23, 1945, NAID 4732395."
DUP-046,DOC50-024,CHR-046,High,Medium duplicate risk,Unchecked - proof required before promotion,Peace Aims and Handoff,"April 12, 1945",Long-Range Policy Directive-Austria,NARA,RG 208,NAID 4732367,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive-Austria%22,0,Long-Range Policy Directive-Austria Office of War Information directive 1945,https://history.state.gov/search?q=Long-Range%20Policy%20Directive-Austria%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732367,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Policy Directive-Austria-April 12, 1945, NAID 4732367."
DUP-047,DOC50-023,CHR-047,High,Medium duplicate risk,Unchecked - proof required before promotion,Peace Aims and Handoff,"April 18, 1945",Long-Range Directive-France,NARA,RG 208,NAID 4732378,https://history.state.gov/search?q=%22Long-Range%20Directive-France%22,0,Long-Range Directive-France Office of War Information directive 1945,https://history.state.gov/search?q=Long-Range%20Directive-France%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732378,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Long-Range Directive-France-April 18, 1945, NAID 4732378."
DUP-048,DOC50-020,CHR-048,Critical,High duplicate risk,Unchecked - proof required before promotion,Peace Aims and Handoff,"April 26, 1945",Basic Policy Directive for Information in Germany,NARA,RG 208,NAID 4732380,https://history.state.gov/search?q=%22Basic%20Policy%20Directive%20for%20Information%20in%20Germany%22,0,Basic Policy Germany Office of War Information directive 1945,https://history.state.gov/search?q=Basic%20Policy%20Germany%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732380,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Basic Policy Directive for Information in Germany-April 26, 1945, NAID 4732380."
DUP-049,DOC50-021,CHR-049,Critical,High duplicate risk,Unchecked - proof required before promotion,Peace Aims and Handoff,"May 29, 1945",Directive on Basic Themes for Output to Germany,NARA,RG 208,NAID 4732379,https://history.state.gov/search?q=%22Directive%20on%20Basic%20Themes%20for%20Output%20to%20Germany%22,0,Basic Themes Output Germany Office of War Information directive 1945,https://history.state.gov/search?q=Basic%20Themes%20Output%20Germany%20Office%20of%20War%20Information%20directive%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732379,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Directive on Basic Themes for Output to Germany-May 29, 1945, NAID 4732379."
DUP-050,DOC50-049,CHR-050,High,Medium duplicate risk,Hold until item-level duplicate check,Hemisphere and Cultural Exchange,1945,Radio Division Resume of Operations,NARA,RG 229,NAID 2102897,https://history.state.gov/search?q=%22Radio%20Division%20Resume%20of%20Operations%22,0,Radio Division Resume Operations Inter-American Affairs radio 1945,https://history.state.gov/search?q=Radio%20Division%20Resume%20Operations%20Inter-American%20Affairs%20radio%201945,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/2102897,"Source: National Archives, RG 229, Records of the Office of Inter-American Affairs, Department of Information, Radio Division, Resume of Operations, NAID 2102897."
