Assembly ID,Working Document Slot,Final FRUS Number,Chapter Number,Chapter Title,Chapter Slot,Section Heading,Candidate ID,Chronology ID,Decision ID,Packet ID,Duplicate ID,Citation ID,Sort Key,Display Date,Title,Lane,Editorial Role,Assembly Function,Priority,Assembly Recommendation,Placement Rationale,Selection Gate,Source Copy Gate,Duplicate Gate,Citation Gate,Authority Gate,Evidence Gate,Boundary Gate,Gate Summary,Draft Headnote Or Annotation Task,Related Pull Sheets,Related Docket,Source Locator,Catalog URL,FRUS Search URL,Source Note,Next Assembly Action,Compiler Owner,Assembly Review Date,Notes
ASM-021,WDS-021,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S11,"Embassy, outpost, and field implementation reports",DOC50-011,CHR-021,SEL-011,PKT-011,DUP-021,CITE-021,1944-07-09,"July 9, 1944",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/7-944; M973 roll 607, image 0500",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Bern-Rome%20communications%22%20OWI,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-022,WDS-022,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S12,"Embassy, outpost, and field implementation reports",DOC50-009,CHR-022,SEL-009,PKT-009,DUP-022,CITE-022,1944-07-10,"July 10, 1944",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/7-1044; M973 roll 607, image 0500",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22United%20Newsreel%20108%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-023,WDS-023,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S13,"Embassy, outpost, and field implementation reports",DOC50-012,CHR-023,SEL-012,PKT-012,DUP-023,CITE-023,1944-08-08,"August 8, 1944",Manchester dispatch enclosing notices on the OWI Information Center Unit,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/8-844; M973 roll 607, image 0550",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Information%20Center%20Unit%22%20Manchester%20OWI,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-024,WDS-024,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S14,"Embassy, outpost, and field implementation reports",DOC50-013,CHR-024,SEL-013,PKT-013,DUP-024,CITE-024,1944-08-08,"August 8, 1944","Manchester Press Attache report for the week ending August 5, 1944",OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/8-844; M973 roll 607, image 0550",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Manchester%20Press%20Attache%22%20%22August%205%2C%201944%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-025,WDS-025,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S15,OWI policy coordination and Allied directive crosswalks,DOC50-034,CHR-025,SEL-034,PKT-034,DUP-025,CITE-025,1944-09-01,September 1944,Regional Directives-September 1944,OWI Overseas and VOA,Policy coordination,Coordination bridge document,Medium,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732351,https://catalog.archives.gov/id/4732351,https://history.state.gov/search?q=%22Regional%20Directives-September%201944%22%20OWI,"NARA RG 208, Record Set of Policy Directives, Regional Directives-September 1944, NAID 4732351.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-026,WDS-026,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S16,"Embassy, outpost, and field implementation reports",DOC50-014,CHR-026,SEL-014,PKT-014,DUP-026,CITE-026,1944-09-02,"September 2, 1944",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Critical,Priority promotion review after source copy,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/9-244; M973 roll 607, image 0600",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22OWI%27s%20thinking%22%20%22Balkan%20affairs%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-027,WDS-027,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S17,"Embassy, outpost, and field implementation reports",DOC50-015,CHR-027,SEL-015,PKT-015,DUP-027,CITE-027,1944-09-02,"September 2, 1944",Switzerland telegram submitting suggestions for Allied propaganda for Italy,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Critical,Priority promotion review after source copy,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/9-244; M973 roll 607, image 0600",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22suggestions%20for%20allied%20propaganda%20for%20Italy%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-028,WDS-028,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S18,"Embassy, outpost, and field implementation reports",DOC50-016,CHR-028,SEL-016,PKT-016,DUP-028,CITE-028,1944-09-02,"September 2, 1944",Suva telegram summarizing a Central Directive from OWI,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/9-244; M973 roll 607, image 0600",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Summary%20of%20Central%20Directive%20from%20OWI%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-029,WDS-029,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S03,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-001,CHR-029,SEL-001,PKT-001,DUP-029,CITE-029,1944-09-09,"September 9-11, 1944",CIAA circular announcing morning and noon Spanish-language shortwave service,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/9-944; M973 roll 607, image 0095",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-944%22,"NARA RG 59, Purport Lists and Cards, 7/1944-12/1944: 103.91602/4-1544 - 103.9166/12-3144, NAID 88176221, M973-607-0095.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-030,WDS-030,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S04,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-002,CHR-030,SEL-002,PKT-002,DUP-030,CITE-030,1944-09-21,"September 21, 1944",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/9-2144; M973 roll 607, image 0100",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-2144%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-031,WDS-031,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S05,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-008,CHR-031,SEL-008,PKT-008,DUP-031,CITE-031,1944-09-21,"September 21, 1944",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/9-2144; M973 roll 607, image 0100",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Teodoro%20Picado%22%20%22Rockefeller%22%20%221944%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-032,WDS-032,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S06,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-003,CHR-032,SEL-003,PKT-003,DUP-032,CITE-032,1944-09-22,"September 22, 1944",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/9-2244; M973 roll 607, image 0100",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-2244%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-033,WDS-033,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S07,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-004,CHR-033,SEL-004,PKT-004,DUP-033,CITE-033,1944-10-20,"October 20, 1944",Colombia telegram listing latest CIAA program numbers and expiration dates,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/10-2044; M973 roll 607, image 0110",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-034,WDS-034,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S08,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-005,CHR-034,SEL-005,PKT-005,DUP-034,CITE-034,1944-10-20,"October 20, 1944",Chile telegram reporting that no CIAA transcriptions were then in use,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/10-2044; M973 roll 607, image 0110",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-035,WDS-035,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S19,OWI long-range policy and broadcast guidance,DOC50-026,CHR-035,SEL-026,PKT-026,DUP-035,CITE-035,1944-10-28,"October 28, 1944",Long-Range Directive for Czechoslovakia,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732375,https://catalog.archives.gov/id/4732375,https://history.state.gov/search?q=%22Long-Range%20Directive%20for%20Czechoslovakia%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive for Czechoslovakia-October 28, 1944, NAID 4732375.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-036,WDS-036,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S20,"Embassy, outpost, and field implementation reports",DOC50-017,CHR-036,SEL-017,PKT-017,DUP-036,CITE-036,1944-10-31,"October 31, 1944",Las Palmas report on Legation activities for OWI and American programs broadcast in September,OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/10-3144; M973 roll 607, image 0700",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22American%20programs%20broadcast%22%20%22Las%20Palmas%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0700.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-037,WDS-037,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S09,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-007,CHR-037,SEL-007,PKT-007,DUP-037,CITE-037,1944-11-20,"November 20, 1944",Brazil telegram on proposed Hemisphere information service through CIAA,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/11-2044; M973 roll 607, image 0120",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Hemisphere%20information%20service%22%20CIAA,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-038,WDS-038,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S21,OWI long-range policy and broadcast guidance,DOC50-028,CHR-038,SEL-028,PKT-028,DUP-038,CITE-038,1944-11-20,"November 20, 1944",Netherlands Long Range Directive,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,Medium,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732392,https://catalog.archives.gov/id/4732392,https://history.state.gov/search?q=%22Netherlands%20Long%20Range%20Directive%22,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Netherlands Long Range Directive-November 20, 1944, NAID 4732392.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-039,WDS-039,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S10,"CIAA/OIAA post implementation, radio, and film traffic",DOC50-006,CHR-039,SEL-006,PKT-006,DUP-039,CITE-039,1944-11-21,"November 21, 1944",Circular transmitting changes in the English shortwave schedule,Hemisphere and Cultural Exchange,State cable / implementation,Implementation or reaction document,High,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"103.9161/11-2144; M973 roll 607, image 0120",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22English%20short%20wave%20schedule%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-040,WDS-040,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S22,OWI long-range policy and broadcast guidance,DOC50-022,CHR-040,SEL-022,PKT-022,DUP-040,CITE-040,1944-12-05,"December 5, 1944",Long Range Directive for Germany,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732381,https://catalog.archives.gov/id/4732381,https://history.state.gov/search?q=%22Long%20Range%20Directive%20for%20Germany%22%20%221944%22,"NARA RG 208, Record Set of Policy Directives, Extra Copies of Long Range Directive for Germany-December 5, 1944, NAID 4732381.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
