Candidate ID,Priority,Candidate Status,Lane,Date,Repository,Record Group Or Collection,Source Locator,Title,Document Type,Candidate Value,Existing FRUS Exact Screen,History.state.gov Check URL,NARA Or FDR Catalog URL,Source Note,Source Copy Status,Duplicate Status,Boundary Ruling,Related Pull Sheets,Related Packet ID,Related Duplicate ID,Related Citation ID,Related Readiness ID,Next Compiler Action
DOC50-037,Medium,Candidate - boundary check,OWI Overseas and VOA,"January 12, 1945",NARA,RG 165,NAID 2149191,Weekly Propaganda Directive Office of War Information Czechoslovakia,Weekly propaganda directive,"Possible occupied/liberated Central Europe guidance, subject to military boundary review.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Czechoslovakia%22,https://catalog.archives.gov/id/2149191,"NARA RG 165, Weekly Propaganda Directive Office of War Information Czechoslovakia January 12, 1945, NAID 2149191.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-010,PKT-037,DUP-043,CITE-043,READY-049,Open PULL-010 request row and confirm NAID 2149191 is in the next archive batch.
DOC50-038,Medium,Candidate - boundary check,OWI Overseas and VOA,1944-1945,NARA,RG 165,NAID 2149198,Weekly Propaganda Directive Office of War Information Sweden,Weekly propaganda directive,Can be paired with RG 84 Stockholm/Bern neutral-post evidence.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22,https://catalog.archives.gov/id/2149198,"NARA RG 165, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-006; PULL-010,PKT-038,DUP-014,CITE-014,READY-046,Open PULL-010 request row and confirm NAID 2149198 is in the next archive batch.
DOC50-039,Medium,Candidate - boundary check,OWI Overseas and VOA,1944-1945,NARA,RG 165,NAID 2149195,Weekly Propaganda Directive Office of War Information Iberia,Weekly propaganda directive,Useful for neutral Iberia if State/post evidence confirms diplomatic significance.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22,https://catalog.archives.gov/id/2149195,"NARA RG 165, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-006; PULL-010,PKT-039,DUP-015,CITE-015,READY-047,Open PULL-010 request row and confirm NAID 2149195 is in the next archive batch.
DOC50-040,Medium,Candidate - boundary check,OWI Overseas and VOA,1944-1945,NARA,RG 165,NAID 2149196,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",Weekly propaganda directive,Potential cross-regional weekly guidance; include only if it shaped diplomatic public messaging.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22,https://catalog.archives.gov/id/2149196,"NARA RG 165, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-010,PKT-040,DUP-016,CITE-016,READY-048,Open PULL-010 request row and confirm NAID 2149196 is in the next archive batch.
DOC50-041,High,Candidate - not found in FRUS,Creating War Information,1942-1944,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620603,"Office of War Information, 1942-1944",White House subject file,Folder-level White House material to find FDR-side OWI decisions and routing.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22,https://catalog.archives.gov/id/16620603,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-008,PKT-041,DUP-001,CITE-001,READY-006,Open PULL-008 request row and confirm NAID 16620603 is in the next archive batch.
DOC50-042,High,Candidate - not found in FRUS,Creating War Information,1942-1945,FDR Library / NARA Catalog,President's Secretary's File,NAID 16609748,Office of War Information confidential file,White House confidential file,Potential FDR-level policy and controversy material for OWI.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22,https://catalog.archives.gov/id/16609748,"FDR Library via NARA Catalog, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-008,PKT-042,DUP-006,CITE-006,READY-007,Open PULL-008 request row and confirm NAID 16609748 is in the next archive batch.
DOC50-043,Medium,Candidate - not found in FRUS,Creating War Information,June 1942,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620611,"Office of War Information - Survey of Intelligence, June 1942",Survey/intelligence report,Early OWI intelligence/research evidence soon after creation of OWI.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22,https://catalog.archives.gov/id/16620611,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-008,PKT-043,DUP-003,CITE-003,READY-018,Open PULL-008 request row and confirm NAID 16620611 is in the next archive batch.
DOC50-044,Medium,Candidate - not found in FRUS,Creating War Information,August 1942,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620616,"Office of War Information - Survey of Intelligence, August 1942",Survey/intelligence report,White House-level evidence on OWI intelligence and opinion/research functions.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22,https://catalog.archives.gov/id/16620616,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-008,PKT-044,DUP-004,CITE-004,READY-019,Open PULL-008 request row and confirm NAID 16620616 is in the next archive batch.
DOC50-045,Medium,Candidate - not found in FRUS,Creating War Information,December 1942,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620625,"Office of War Information - Survey of Intelligence, December 1942",Survey/intelligence report,Can support the transition from early OWI organization to mature overseas/public-line strategy.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22,https://catalog.archives.gov/id/16620625,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-008,PKT-045,DUP-007,CITE-007,READY-020,Open PULL-008 request row and confirm NAID 16620625 is in the next archive batch.
DOC50-046,Medium,Candidate - not found in FRUS,Prewar Information Policy,"November 19, 1942",FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549657,"Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Memorandum,Shows OWI rumor-control guidance for editors and publishers; useful only if tied to foreign public-line policy.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22,https://catalog.archives.gov/id/509549657,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-009,PKT-046,DUP-005,CITE-005,READY-045,Open PULL-009 request row and confirm NAID 509549657 is in the next archive batch.
DOC50-047,Low,Candidate - boundary check,Prewar Information Policy,October 1942-April 1943,FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549751,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Letter with attachments,Rumor-control correspondence; include only if it illuminates official information policy beyond domestic morale.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22,https://catalog.archives.gov/id/509549751,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751.",Needed,Unchecked,Hold until boundary and duplicate checks clear,PULL-009,PKT-047,DUP-008,CITE-008,READY-050,Open PULL-009 request row and confirm NAID 509549751 is in the next archive batch.
DOC50-048,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,1942,NARA,RG 229,NAID 782735,Radio Reaction Reports,Audience reaction reports,Direct listener-response evidence from the United States and Latin America on shortwave broadcasts.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Radio%20Reaction%20Reports%22%20%22Inter-American%22,https://catalog.archives.gov/id/782735,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Radio Reaction Reports, NAID 782735.",Needed,Unchecked,Hold until item-level duplicate check,PULL-007,PKT-048,DUP-002,CITE-002,READY-027,Open PULL-007 request row and confirm NAID 782735 is in the next archive batch.
DOC50-049,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,1945,NARA,RG 229,NAID 2102897,Radio Division Resume of Operations,Operations report,"Strong summary document for OIAA radio operations, budget, personnel, and program structure at handoff.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Radio%20Division%20Resume%20of%20Operations%22,https://catalog.archives.gov/id/2102897,"NARA RG 229, Office of Inter-American Affairs, Department of Information, Radio Division, Resume of Operations, NAID 2102897.",Needed,Unchecked,Hold until item-level duplicate check,PULL-007,PKT-049,DUP-050,CITE-050,READY-034,Open PULL-007 request row and confirm NAID 2102897 is in the next archive batch.
DOC50-050,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,1941-1943,NARA,RG 229,NAID 2102898,Radio Division Reports and Issuances,Reports and issuances,"Contains field inspection reports, monthly reports, operations reports, and Mexico radio surveys for OIAA radio policy.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22,https://catalog.archives.gov/id/2102898,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Reports and Issuances, NAID 2102898.",Needed,Unchecked,Hold until item-level duplicate check,PULL-007,PKT-050,DUP-012,CITE-012,READY-028,Open PULL-007 request row and confirm NAID 2102898 is in the next archive batch.
